,user_id,created_at,user_name,tweet,weekday,month,day,at_risk
0,2071116924,18:51:47,chriskillzombie,crash richards,Sun,Jun,07,0
1,1678849128,07:53:16,_amberlovely,yayayayayyy gon class sort dalby sherwood outtt love youu xxxx,Sat,May,02,0
2,2014754596,02:34:42,saltyshutter,know annoy say least anyhow search continue,Wed,Jun,03,0
3,1955909916,20:50:21,danfan_1,psst love danny hehe,Thu,May,28,0
4,2177146195,05:32:40,012808frae,great song,Mon,Jun,15,0
5,1989824257,02:56:33,zlnessa,talk mommie meebo chat loveyah mommiiieee,Mon,Jun,01,0
6,1956785438,22:41:06,ashasestich,adelaide tonight cant wait get plane see amaze man,Thu,May,28,0
7,1957584637,00:57:47,svinks,finally get rid smart board tool automatic launch login mac leopard,Fri,May,29,0
8,2045271004,10:29:08,mcfly_freak,lol wuv really,Fri,Jun,05,0
9,2181673942,12:08:41,epi_speaks,google wordpress instead blogspot thx,Mon,Jun,15,0
10,1991970117,07:58:53,vanhoosear,desktop might get clean,Mon,Jun,01,0
11,2055959396,10:16:02,amasshouse,laughter one best things god give,Sat,Jun,06,0
12,1957027488,23:18:59,TheRealJames,oooo btw like piccys china china man,Thu,May,28,0
13,2063972488,04:46:52,lord_phoenix,good day,Sun,Jun,07,0
14,2178213645,07:21:59,nmopac,wiiiiiide awake lunch friends,Mon,Jun,15,0
15,1834985543,04:48:46,BrandonBrennan,school days count today today gon easy yay,Mon,May,18,0
16,2189698716,00:40:37,alastar_peace,sleep home soon wait see damascus,Tue,Jun,16,0
17,1971891999,08:07:15,mordrin,also quite fortunate beat shit happen,Sat,May,30,0
18,1468613602,02:44:10,Annechenx3,wooooooooooow cute,Tue,Apr,07,0
19,1792795870,00:16:24,susangoulding,tweet less sleep,Thu,May,14,0
20,1970717043,04:57:44,Dennymcg,yup listen die fetus,Sat,May,30,0
21,2008967314,14:56:30,brokenlizard,old lady crazy lem shit stink worse everybody else luv soter,Tue,Jun,02,0
22,1982837965,12:00:10,swhyte22,work project aline,Sun,May,31,0
23,2008204691,13:46:45,bibliolatrist,yes take fluke moore honeymoon hat probably good thing read anyway litchat,Tue,Jun,02,0
24,1692060500,19:11:33,shellanedeleon,clearly need soon whole family want fyi beat well bowl,Sun,May,03,0
25,2193370827,08:21:59,evieness,yup call personal trainers,Tue,Jun,16,0
26,1978185217,22:39:23,kaymac25,get lovely dolphin tattoo back neck look pretty,Sat,May,30,0
27,1677461045,02:11:46,aniindya,thnks accompany last night others leave thoughtful,Sat,May,02,0
28,1976952354,19:40:45,kitty42,sure hope bring great insight investigations,Sat,May,30,0
29,2012155181,20:09:41,LaSHARON,follow amp apparently make fire track right check,Tue,Jun,02,0
30,1833528043,23:34:36,krystallouise,tea becdizzle alex gang hogsbreath tonight steak please haha,Sun,May,17,0
31,1751033219,18:30:30,tarcie,alexander ovechkin definitely new favorite nhl player,Sat,May,09,0
32,1961442215,09:30:33,JraseanJ,sound like threat lol,Fri,May,29,0
33,1970580378,04:26:06,pmarnandus,well always good something make feel good,Sat,May,30,0
